id,vydacha_dt,activation_dt,pro0,pro1,pro2,chastotta,tran_type_month0,tran_type_month1,tran_type_month2,FREE_LIMIT0,FREE_LIMIT1,FREE_LIMIT2,limit,login_0,login_1,login_2,withdraw0,withdraw1,withdraw2,cred_tran_nopartnershare0,cred_tran_nopartnershare1,cred_tran_nopartnershare2,cl_age,GENDER_ID,tran_prod,tran_remont,tran_inet,CRED_TRAN_TOTAL,CREDIT_TRAN_AMT_last_month,CL_CHILDREN_NO,City_Population_category,cl_income,count_tran2,counttran1,count_tran0,tran_amt2,tran_amt1,tran_amt0,avg_amt_prod_3m,avg_amt_vnebs_3m,avg_amt_avto_3m,avg_amt_inet_3m,churn,product_type,top_cat
1,2019-01-30 00:00:00.000,2021-11-22 00:00:00.000,1,1,1,secondhalf,CRED,CRED+DEB,CRED,3928.86,3377.52,6610.81,21000.00,6,NULL,NULL,"62,77132906990466","66,77646944125122","27,17490467431653",0.08,0.50,0.88,66,1,2,0,0,1,6181.07,-1,300 – 700 тыс,1176000.0000,17,7,7,6181.0700,6698.4600,17071.1400,335.94,411.07,NULL,NULL,0,card only,Products
2,2021-11-12 00:00:00.000,2021-11-12 00:00:00.000,0,0,1,firsthalf,CRED+DEB,CRED+DEB,CRED,14520.00,17162.56,16002.56,75000.00,6,32,24,0,0,0,NULL,NULL,NULL,54,2,0,0,0,1,1160.00,0,0 – 100 тыс,444000.0000,4,4,14,1160.0000,1700.0000,76862.3300,NULL,NULL,NULL,NULL,0,only self pickup,Furniture
3,2021-06-17 00:00:00.000,2021-11-22 00:00:00.000,1,1,1,secondhalf,CRED,CRED,CRED,14869.29,45149.45,40638.27,75000.00,7,27,10,"9,277231048321518","9,579041518797426",0,0.34,0.78,0.75,54,2,2,0,0,1,15111.64,-1,300 – 700 тыс,960000.0000,10,2,16,15111.6400,719.3500,60130.7100,199.00,903.55,NULL,NULL,0,only self pickup,Products
4,2021-11-08 00:00:00.000,2021-11-08 00:00:00.000,1,1,1,secondhalf,CRED+DEB,CRED+DEB,CRED+DEB,90000.00,90000.00,83629.25,90000.00,11,21,15,0,0,0,NULL,0.19,0.29,40,2,33,0,1,1,9157.78,0,0 – 100 тыс,744000.0000,18,75,28,8928.0400,69845.5200,15572.9500,400.65,612.68,749.78,NULL,0,plus credit,Products
5,2021-11-28 00:00:00.000,2021-11-28 00:00:00.000,1,1,1,secondhalf,CRED,CRED,CRED,44950.00,346.72,167.87,45000.00,11,6,16,0,0,0,NULL,NULL,NULL,43,2,11,0,0,1,2658.89,-1,>700 тыс,600000.0000,3,13,1,3370.8900,44603.2800,50.0000,1853.11,NULL,NULL,NULL,0,PMM,Products
6,2021-11-28 00:00:00.000,2021-11-28 00:00:00.000,1,1,1,firsthalf,CRED,CRED,CRED,57339.01,49669.64,27164.62,60000.00,6,7,10,"60,96656036421075","54,19846611114443","66,33626468548674",0.16,0.91,0.89,57,1,0,0,0,1,23539.82,0,0 – 100 тыс,240000.0000,4,31,4,23539.8200,18669.3700,2660.9900,NULL,429.65,NULL,NULL,0,only self pickup,Electronics
7,2021-10-27 00:00:00.000,2021-11-26 00:00:00.000,0,0,0,secondhalf,CRED,CRED,CRED,45000.00,5629.27,198.90,45000.00,3,8,3,0,0,0,NULL,0.55,0.58,41,2,1,0,3,1,18470.00,1,>700 тыс,3600000.0000,2,10,1,18290.0000,39096.9600,699.8700,5.00,914.85,NULL,172.99,0,auto,Electronics
8,2021-11-24 00:00:00.000,2021-11-24 00:00:00.000,1,1,1,firsthalf,CRED,CRED,CRED,21218.70,45000.00,30123.19,45000.00,42,37,66,"18,195959387506257","18,197978470903763","34,18925960952557",0.25,0.76,0.81,40,2,0,0,1,1,15050.00,-1,>700 тыс,780000.0000,2,35,23,15000.0000,21218.7000,23781.3000,NULL,445.99,NULL,NULL,0,only self pickup,Pharmacies
9,2021-11-19 00:00:00.000,2021-11-19 00:00:00.000,1,1,1,secondhalf,CRED,CRED+DEB,CRED,14310.90,29493.95,1025.45,45000.00,13,13,18,"1,6172286167741219",0,0,0.12,0.73,0.74,44,2,2,0,0,1,50528.22,0,0 – 100 тыс,300000.0000,65,48,26,51724.3300,52646.1000,30689.1000,226.97,382.18,750.00,NULL,0,only self pickup,gas stations
10,2021-11-16 00:00:00.000,2021-11-16 00:00:00.000,0,0,0,firsthalf,CRED+DEB,CRED,CRED,59500.00,60000.00,59830.00,60000.00,12,6,10,0,0,0,NULL,0.70,0.78,38,2,2,0,0,1,170.00,2,0 – 100 тыс,2220000.0000,1,8,2,170.0000,17138.9200,2408.0000,246.97,2402.14,NULL,NULL,1,plus credit,Products
